Neighborhood Tabulation Area (NTA) (2020),Total Savings,Job created
BK0101,10367.961794871795,16.0
BK0102,12599.753333333334,15.0
BK0103,19150.92285714286,0.0
BK0104,21158.253076923076,187.0
BK0201,15102.036363636364,0.0
BK0202,74011.2558974359,0.0
BK0203,54292.524999999994,300.0
BK0261,12876.958499999999,0.0
BK0301,57934.14166666666,8.0
BK0401,6128.9400000000005,14.0
BK0502,13810.223333333333,0.0
BK0503,62669.078888888886,415.0
BK0504,35063.956666666665,0.0
BK0601,25358.179523809526,97.0
BK0701,68502.11,0.0
BK0702,17596.18857142857,92.0
BK0802,3620.966590909091,0.0
BK1202,9642.914285714285,13.0
BK1302,36414.18,0.0
BK1403,388946.3071428571,0.0
BK1602,-3744.1044444444437,55.0
BK1701,12049.102,0.0
BK1702,37681.06555555555,22.0
BK1704,484.25600000000003,0.0
BK1801,610.958,0.0
BK1803,14783.474444444444,25.0
BX0101,17226.212931034483,106.0
BX0201,21078.529495798317,133.0
BX0302,36005.304000000004,21.0
BX0703,327206.672,0.0
BX1001,10510.395882352941,20.0
BX1102,726343.1799999999,0.0
BX1161,13164.977777777778,400.0
BX1202,20566.815714285713,0.0
MN0101,431063.85866666667,0.0
MN0102,47655.74800000001,4.0
MN0401,16967.113125,10.0
MN0501,17841.953333333335,8.0
MN0502,33844.037,0.0
MN0902,2398.261224489796,10.0
MN1001,20202.420000000002,0.0
MN1102,8909.400625,8.0
MN1201,1442.358,0.0
QN0101,14292.983783783784,100.0
QN0103,14084.895625,2.0
QN0104,25843.476363636364,23.0
QN0105,59201.95804597701,105.0
QN0161,2489.384,0.0
QN0201,27410.526875000003,78.0
QN0202,13586.924022988505,125.0
QN0203,6549.47090909091,10.0
QN0261,3965.347142857143,60.0
QN0402,18855.50909090909,10.0
QN0501,13278.137101449274,195.0
QN0502,11908.803529411765,3.0
QN0503,5468.0599999999995,10.0
QN0602,9785.966,0.0
QN0701,33604.16977272727,120.0
QN0702,96554.236,0.0
QN0707,17201.287500000002,0.0
QN0902,11662.949090909091,6.0
QN0904,1739.5158333333336,0.0
QN1002,6022.731111111111,0.0
QN1201,7259.248181818181,20.0
QN1203,16923.03,0.0
QN1205,27353.428888888888,0.0
QN1303,3592.2110000000002,10.0
QN1305,166379.352,0.0
QN1306,21160.5052,0.0
SI0106,6338.2528571428575,10.0
SI0107,113610.15999999999,300.0
SI0204,605464.8391666667,0.0
